Artist,Album,Genre,Added
Kamasi Washington,Harmony of Difference,Jazz,"28/09/2017, 20:17"
Miles Davis,In a Silent Way,Jazz,"23/08/2017, 12:57"
Sam Cooke,Ain't That Good News,R&B,"23/08/2017, 00:05"
Herbie Hancock,Maiden Voyage,Jazz,"22/08/2017, 23:52"
The Temptations,The Ultimate Collection,Soul and R&B,"22/08/2017, 23:31"
Grizzly Bear,Painted Ruins,Rock,"19/08/2017, 16:02"
Danny Brown,Atrocity Exhibition,Hip-Hop/Rap,"17/08/2017, 17:02"
Sudan Archives,Sudan Archives,Folk,"17/08/2017, 16:58"
Young Thug,BEAUTIFUL THUGGER GIRLS,Hip-Hop/Rap,"09/08/2017, 00:02"
Ricardo Villalobos,Fabric 36,Microhouse,"07/08/2017, 02:07"
Thundercat,Drunk,"Funk, Soul","31/07/2017, 17:04"
Jimi Tents,I Can't Go Home,Hip-Hop/Rap,"30/07/2017, 22:43"
Silver Jews,American Water,Alternative,"30/07/2017, 16:57"
Nicolas Jaar,Space Is Only Noise,Alternative,"25/07/2017, 14:36"
Call Super,Fabric 92,Electronic,"24/07/2017, 21:28"
MIKE,MAY GOD BLESS YOUR HUSTLE,Hip-Hop/Rap,"23/07/2017, 09:57"
Lorde,Melodrama,Pop,"21/07/2017, 22:49"
"Tyler, The Creator",Flower Boy,Hip-Hop/Rap,"21/07/2017, 22:45"
Waxahatchee,Out in the Storm,Indie Folk,"13/07/2017, 19:49"
Vince Staples,Big Fish Theory,Hip-Hop,"13/07/2017, 19:47"
Miles Davis,Kind of Blue [50th Anniversary Collector's Edition] Disc 1,Jazz,"11/07/2017, 12:15"
Jay-Z,Reasonable Doubt,Rap,"05/07/2017, 12:14"
Beach Fossils,Somersault,Indie Rock,"09/06/2017, 10:32"
Fleet Foxes,Crack-Up,Folk Rock,"06/06/2017, 17:35"
(Sandy) Alex G,Rocket,Indie,"26/05/2017, 15:52"
Jlin,Black Origami,Footwork,"26/05/2017, 15:51"
William Onyeabor,Atomic Bomb,Electronic,"18/05/2017, 16:48"
William Onyeabor,Crashes in Love,Electronic,"15/05/2017, 20:35"
Kweku Collins,Nat Love,Hip-Hop/Rap,"08/05/2017, 20:02"
Kweku Collins,grey [Explicit],Hip-Hop/Rap,"08/05/2017, 19:53"
Miles Davis,Bitches Brew: Legacy Edition [2CD/1DVD] Disc 1,Jazz,"08/05/2017, 19:48"
Miles Davis,Bitches Brew: Legacy Edition [2CD/1DVD] Disc 2,Jazz,"08/05/2017, 19:48"
Miles Davis,Kind of Blue [50th Anniversary Collector's Edition] Disc 2,Jazz,"08/05/2017, 19:46"
Esperanza Spalding,Chamber Music Society,Jazz,"29/04/2017, 23:53"
Esperanza Spalding,Esperanza,Jazz,"29/04/2017, 23:53"
Esperanza Spalding,Junjo,Jazz,"29/04/2017, 23:53"
Esperanza Spalding,Radio Music Society,Jazz,"29/04/2017, 23:53"
Bob Dylan,1966 Live Recordings,Folk,"25/04/2017, 21:56"
"Walkmen, The",Bows & Arrows,Indie,"24/04/2017, 17:34"
Kendrick Lamar,DAMN.,Hip-Hop/Rap,"14/04/2017, 02:06"
Father John Misty,Pure Comedy,Indie Folk,"10/04/2017, 13:12"
Father John Misty,Real Love Baby,Indie Folk,"08/04/2017, 16:37"
Joey Badass,All-Amerikkkan Badass,Hip-Hop/Rap,"07/04/2017, 16:33"
Call Super,Suzi Ecto,Electronic,"31/03/2017, 13:15"
Whitney,Light Upon the Lake,Indie,"27/03/2017, 18:26"
Mount Eerie,A Crow Looked At Me,Indie,"24/03/2017, 13:38"
Swet Shop Boys,Cashmere,Hip-Hop/Rap,"18/03/2017, 21:50"
Real Estate,In Mind,Indie Rock,"17/03/2017, 23:56"
Roc Marciano,Rosebudd's Revenge,Hip-Hop,"16/03/2017, 20:05"
Your Old Droog,PACKS,Hip-Hop/Rap,"16/03/2017, 10:41"
Stormzy,Gang Signs & Prayer,,"16/03/2017, 01:22"
Vagabon,Infinite Worlds,Indie,"11/03/2017, 13:49"
Fleet Foxes,Crack-Up,Prog Folk,"09/03/2017, 23:19"
Black Flag,Damaged,Punk,"07/03/2017, 21:43"
Alex G,DSU,Indie Rock,"03/03/2017, 17:29"
The Heliocentrics,From The Deep,Jazz,"03/03/2017, 17:00"
DJ Koze,Amygdala,Electronic,"21/02/2017, 20:08"
Dirty Projectors,Dirty Projectors,Alternative & Indie,"21/02/2017, 16:37"
Visible Cloaks,Reassemblage,Ambient,"20/02/2017, 11:17"
Spencer Doran,"Fairlights, Mallets and Bamboo (Japan, 1980-86)",Ambient,"20/02/2017, 11:17"
Thundercat,The Beyond / Where the Giants Roam,"Funk, Soul","16/02/2017, 12:15"
